"","timestep","class","x","y","z"
"89",89,1,22,51,37
"90",90,1,23,50,40
"91",91,1,23,50,38
"92",92,1,22,51,38
"93",93,1,23,50,37
"94",94,1,23,50,39
"95",95,1,22,50,38
"96",96,1,24,51,37
"97",97,1,23,49,37
"98",98,1,23,50,37
"99",99,1,22,51,37
"100",100,1,22,49,37
"101",101,1,23,49,37
"102",102,1,24,49,37
"103",103,1,22,51,38
"104",104,1,23,51,38
"105",105,1,22,51,38
"106",106,1,22,49,38
"107",107,1,20,51,38
"108",108,1,20,49,37
"109",109,1,21,50,37
"110",110,1,22,49,38
"111",111,1,23,49,37
"112",112,1,24,50,38
"113",113,1,24,50,37
"114",114,1,25,50,38
"115",115,1,25,49,37
"116",116,1,24,51,37
"117",117,1,23,50,36
"118",118,1,20,54,34
"119",119,1,21,50,34
"120",120,1,21,50,35
"121",121,1,22,51,34
"122",122,1,23,50,35
"123",123,1,23,49,35
"124",124,1,22,49,35
"125",125,1,23,50,34
"126",126,1,20,50,35
"127",127,1,20,50,35
"128",128,1,19,50,36
"129",129,1,19,50,35
"130",130,1,19,51,36
"131",131,1,21,50,36
"132",132,1,22,51,36
"133",133,1,25,52,35
"134",134,1,25,52,35
"135",135,1,26,51,34
"136",136,1,25,51,35
"137",137,1,23,51,35
"138",138,1,21,51,35
"139",139,1,20,51,35
"140",140,1,19,50,36
"141",141,1,19,50,36
"142",142,1,20,50,35
"143",143,1,21,50,35
"144",144,1,21,50,36
"145",145,1,24,50,37
"146",146,1,24,51,36
"147",147,1,26,52,38
"148",148,1,25,52,37
"149",149,1,27,51,37
"150",150,1,26,51,36
"151",151,1,26,51,36
"152",152,1,23,51,35
"153",153,1,23,51,36
"154",154,1,22,51,35
"155",155,1,22,52,35
"156",156,1,22,50,35
"157",157,1,20,50,35
"158",158,1,21,49,36
"159",159,1,20,50,36
"160",160,1,20,50,35
"161",161,1,21,50,36
"162",162,1,22,48,36
"163",163,1,21,51,35
"164",164,1,18,52,36
"165",165,1,18,48,37
"166",166,1,19,50,36
"167",167,1,22,50,36
"168",168,1,24,50,36
"169",169,1,24,51,35
"170",170,1,25,52,35
"171",171,1,23,52,36
"172",172,1,24,51,36
"173",173,1,24,51,36
"174",174,1,25,52,36
"175",175,1,25,52,36
"176",176,1,23,52,36
"177",177,1,24,52,36
"178",178,1,24,51,35
"179",179,1,25,52,34
"180",180,1,24,53,34
"181",181,1,24,51,34
"182",182,1,23,52,33
"183",183,1,23,52,32
"184",184,1,25,53,32
"185",185,1,24,50,31
"186",186,1,26,50,32
"187",187,1,25,51,30
"188",188,1,25,52,30
"189",189,1,26,51,32
"190",190,1,26,51,31
"191",191,1,26,52,31
"192",192,1,27,51,30
"193",193,1,26,52,29
"194",194,1,25,51,30
"195",195,1,24,52,29
"196",196,1,25,51,29
"197",197,1,25,50,31
"198",198,1,25,50,29
"199",199,1,25,52,30
"200",200,1,26,51,31
"201",201,1,26,49,31
"202",202,1,27,50,32
"203",203,1,26,51,31
"204",204,1,25,51,32
"205",205,1,23,52,32
"206",206,1,21,53,33
"207",207,1,21,52,32
"208",208,1,22,53,31
"209",209,1,21,53,31
"210",210,1,21,52,31
"211",211,1,19,52,29
"212",212,1,17,52,31
"213",213,1,17,52,29
"214",214,1,16,50,31
"215",215,1,18,50,30
"216",216,1,21,51,32
"217",217,1,22,54,33
"218",218,1,24,53,34
"219",219,1,25,52,36
"220",220,1,26,53,36
"221",221,1,26,55,36
"222",222,1,27,49,38
"223",223,1,27,50,35
"224",224,1,28,51,37
"225",225,1,26,51,34
"226",226,1,25,51,34
"227",227,1,27,52,33
"228",228,1,27,54,33
"229",229,1,27,55,32
"230",230,1,30,54,36
"231",231,1,30,46,34
"232",232,1,29,44,30
"233",233,1,33,33,36
"234",234,1,33,44,37
"235",235,1,33,53,32
"236",236,1,26,63,25
"237",237,1,23,62,22
"238",238,1,30,40,28
"239",239,1,25,31,36
"240",240,1,29,53,41
"241",241,1,32,61,30
"242",242,1,32,63,21
"243",243,1,25,54,25
"244",244,1,27,34,31
"245",245,1,28,53,41
"246",246,1,33,53,35
"247",247,1,29,63,25
"248",248,1,29,57,20
"249",249,1,31,38,25
"250",250,1,27,29,39
"251",251,1,30,47,42
"252",252,1,27,63,28
"253",253,1,28,63,20
"254",254,1,26,49,26
"255",255,1,29,40,34
"256",256,1,28,28,44
"257",257,1,29,46,43
"258",258,1,28,63,24
"259",259,1,33,62,22
"260",260,1,29,41,29
"261",261,1,30,28,39
"262",262,1,25,49,44
"263",263,1,26,62,36
"264",264,1,28,63,24
"265",265,1,31,55,23
"266",266,1,31,34,30
"267",267,1,29,23,43
"268",268,1,28,49,44
"269",269,1,27,63,34
"270",270,1,31,63,24
"271",271,1,30,54,27
"272",272,1,30,45,36
"273",273,1,27,22,43
"274",274,1,29,45,43
"275",275,1,31,59,31
"276",276,1,30,63,23
"277",277,1,32,54,22
"278",278,1,30,44,35
"279",279,1,29,29,44
"280",280,1,27,47,42
"281",281,1,29,63,25
"282",282,1,36,63,23
"283",283,1,27,48,36
"284",284,1,30,35,40
"285",285,1,26,44,44
"286",286,1,26,63,28
"287",287,1,36,63,23
"288",288,1,37,43,29
"289",289,1,33,33,40
"290",290,1,27,49,43
"291",291,1,31,50,42
"292",292,1,32,63,22
"293",293,1,36,61,22
"294",294,1,33,35,32
"295",295,1,32,28,43
"296",296,1,28,50,43
"297",297,1,31,63,25
"298",298,1,38,62,23
"299",299,1,33,35,35
"300",300,1,34,24,41
"301",301,1,29,52,44
"302",302,1,31,63,25
"303",303,1,39,62,25
"304",304,1,34,48,32
"305",305,1,29,27,41
"306",306,1,27,57,46
"307",307,1,29,63,32
"308",308,1,36,63,28
"309",309,1,38,50,29
"310",310,1,33,25,36
"311",311,1,27,52,41
"312",312,1,28,63,28
"313",313,1,37,63,27
"314",314,1,35,54,31
"315",315,1,33,31,37
"316",316,1,28,53,41
"317",317,1,28,58,32
"318",318,1,33,63,23
"319",319,1,35,56,25
"320",320,1,26,37,35
"321",321,1,28,38,45
"322",322,1,29,45,43
"323",323,1,34,63,24
"324",324,1,38,63,19
"325",325,1,33,45,31
"326",326,1,30,27,42
"327",327,1,26,46,37
"328",328,1,29,63,26
"329",329,1,35,62,24
"330",330,1,35,51,34
"331",331,1,33,40,42
"332",332,1,31,51,44
"333",333,1,29,63,30
"334",334,1,33,63,24
"335",335,1,32,49,29
"336",336,1,27,31,37
"337",337,1,27,56,42
"338",338,1,29,61,31
"339",339,1,38,63,20
"340",340,1,36,46,23
"341",341,1,31,27,34
"342",342,1,26,49,44
"343",343,1,30,56,41
"344",344,1,33,63,23
"345",345,1,38,59,25
"346",346,1,32,40,33
"347",347,1,30,27,41
"348",348,1,30,51,42
"349",349,1,30,63,28
"350",350,1,35,63,25
"351",351,1,37,50,24
"352",352,1,31,33,35
"353",353,1,28,36,40
"354",354,1,32,49,41
"355",355,1,31,63,28
"356",356,1,37,63,28
"357",357,1,32,48,32
"358",358,1,29,29,39
"359",359,1,27,54,41
"360",360,1,28,62,32
"361",361,1,34,63,25
"362",362,1,36,55,29
"363",363,1,27,34,36
"364",364,1,29,43,38
"365",365,1,30,52,40
"366",366,1,31,63,31
"367",367,1,34,62,26
"368",368,1,28,44,29
"369",369,1,31,32,38
"370",370,1,30,50,39
"371",371,1,31,58,32
"372",372,1,31,63,25
"373",373,1,31,59,29
"374",374,1,28,47,32
"375",375,1,30,20,38
"376",376,1,27,51,44
"377",377,1,26,61,33
"378",378,1,28,63,26
"379",379,1,34,60,24
"380",380,1,29,42,34
"381",381,1,30,19,40
"382",382,1,27,56,43
"383",383,1,25,63,29
"384",384,1,32,63,22
"385",385,1,33,58,23
"386",386,1,34,42,30
"387",387,1,31,20,41
"388",388,1,27,53,45
"389",389,1,28,63,29
"390",390,1,34,63,21
"391",391,1,34,47,24
"392",392,1,33,39,33
"393",393,1,30,31,41
"394",394,1,29,51,41
"395",395,1,30,63,27
"396",396,1,38,62,25
"397",397,1,33,44,29
"398",398,1,32,29,33
"399",399,1,28,51,37
"400",400,1,29,53,35
"401",401,1,28,63,25
"402",402,1,33,59,26
"403",403,1,27,42,33
"404",404,1,29,29,37
"405",405,1,27,51,41
"406",406,1,27,63,33
"407",407,1,32,63,25
"408",408,1,33,53,23
"409",409,1,32,40,24
"410",410,1,35,35,36
"411",411,1,28,45,44
"412",412,1,26,59,34
"413",413,1,32,63,21
"414",414,1,39,56,22
"415",415,1,31,37,33
"416",416,1,30,30,38
"417",417,1,27,46,39
"418",418,1,31,63,22
"419",419,1,40,62,20
"420",420,1,33,41,27
"421",421,1,31,29,36
"422",422,1,26,47,41
"423",423,1,27,63,27
"424",424,1,39,63,20
"425",425,1,36,50,27
"426",426,1,31,36,35
"427",427,1,29,49,43
"428",428,1,28,60,33
"429",429,1,35,63,22
"430",430,1,36,56,21
"431",431,1,30,40,33
"432",432,1,31,28,41
"433",433,1,31,47,40
"434",434,1,32,63,24
"435",435,1,41,62,19
"436",436,1,33,42,27
"437",437,1,31,33,41
"438",438,1,29,51,40
"439",439,1,32,63,28
"440",440,1,37,63,21
"441",441,1,37,49,29
"442",442,1,32,34,38
"443",443,1,30,54,42
"444",444,1,29,62,31
"445",445,1,34,63,21
"446",446,1,35,50,25
"447",447,1,32,31,34
"448",448,1,26,52,42
"449",449,1,30,62,33
"450",450,1,36,63,22
"451",451,1,33,52,26
"452",452,1,28,30,36
"453",453,1,23,52,41
"454",454,1,22,63,38
"455",455,1,28,59,30
"456",456,1,20,63,34
"457",457,1,34,61,35
"458",458,1,35,61,28
"459",459,1,31,56,28
"460",460,1,26,45,30
"461",461,1,23,41,33
"462",462,1,13,27,38
"463",463,1,20,48,34
"464",464,1,20,53,37
"465",465,1,34,55,40
"466",466,1,52,60,38
"467",467,1,48,61,40
"468",468,1,41,50,36
"469",469,1,24,52,38
"470",470,1,5,45,43
"471",471,1,7,45,41
"472",472,1,22,51,37
"473",473,1,37,54,39
"474",474,1,57,62,31
"475",475,1,46,51,42
"476",476,1,27,53,42
"477",477,1,13,46,37
"478",478,1,6,46,35
"479",479,1,14,56,40
"480",480,1,23,50,48
"481",481,1,47,59,38
"482",482,1,53,62,33
"483",483,1,38,52,39
"484",484,1,18,47,36
"485",485,1,3,46,38
"486",486,1,9,53,39
"487",487,1,22,48,40
"488",488,1,39,50,41
"489",489,1,54,63,31
"490",490,1,45,52,34
"491",491,1,31,45,42
"492",492,1,6,45,42
"493",493,1,3,36,36
"494",494,1,13,49,40
"495",495,1,32,47,44
"496",496,1,52,63,35
"497",497,1,52,54,31
"498",498,1,37,43,35
"499",499,1,13,55,37
"500",500,1,0,45,45
"501",501,1,11,59,37
"502",502,1,26,59,42
"503",503,1,43,53,41
"504",504,1,52,62,30
"505",505,1,41,50,33
"506",506,1,26,50,34
"507",507,1,6,43,42
"508",508,1,4,38,38
"509",509,1,17,50,41
"510",510,1,30,49,44
"511",511,1,45,61,37
"512",512,1,48,61,35
"513",513,1,49,46,30
"514",514,1,26,54,34
"515",515,1,3,49,40
"516",516,1,3,55,32
"517",517,1,15,49,37
"518",518,1,28,52,41
"519",519,1,45,62,37
"520",520,1,51,59,32
"521",521,1,40,55,36
"522",522,1,24,55,36
"523",523,1,0,45,44
"524",524,1,8,58,39
"525",525,1,14,57,31
"526",526,1,22,59,38
"527",527,1,40,60,41
"528",528,1,57,63,30
"529",529,1,46,43,35
"530",530,1,26,41,32
"531",531,1,8,51,39
"532",532,1,1,44,38
"533",533,1,13,49,41
"534",534,1,28,58,42
"535",535,1,47,57,39
"536",536,1,51,61,34
"537",537,1,41,49,35
"538",538,1,19,49,39
"539",539,1,0,45,45
"540",540,1,9,57,38
"541",541,1,18,47,40
"542",542,1,31,57,44
"543",543,1,42,59,44
"544",544,1,50,60,37
"545",545,1,44,49,37
"546",546,1,29,47,37
"547",547,1,6,47,44
"548",548,1,1,46,41
"549",549,1,15,48,39
"550",550,1,25,61,43
"551",551,1,36,49,50
"552",552,1,48,57,41
"553",553,1,45,46,41
"554",554,1,31,43,38
"555",555,1,13,47,40
"556",556,1,1,47,47
"557",557,1,8,56,47
"558",558,1,20,52,48
"559",559,1,40,50,48
"560",560,1,56,61,40
"561",561,1,46,44,43
"562",562,1,23,40,44
"563",563,1,14,47,42
"564",564,1,3,43,45
"565",565,1,11,50,44
"566",566,1,23,53,51
"567",567,1,39,50,50
"568",568,1,53,57,41
"569",569,1,44,45,45
"570",570,1,26,45,45
"571",571,1,11,47,42
"572",572,1,5,45,43
"573",573,1,13,48,44
"574",574,1,26,53,51
"575",575,1,42,51,48
"576",576,1,49,54,42
"577",577,1,45,48,43
"578",578,1,25,50,45
"579",579,1,9,48,42
"580",580,1,5,43,45
"581",581,1,12,47,43
"582",582,1,23,47,46
"583",583,1,36,48,51
"584",584,1,54,58,42
"585",585,1,46,42,40
"586",586,1,38,47,39
"587",587,1,13,47,44
"588",588,1,4,44,41
"589",589,1,13,46,40
"590",590,1,29,52,45
"591",591,1,53,61,43
"592",592,1,47,44,42
"593",593,1,38,50,48
"594",594,1,9,46,45
"595",595,1,7,46,38
"596",596,1,17,45,39
"597",597,1,36,55,41
"598",598,1,55,61,35
"599",599,1,47,50,37
"600",600,1,28,51,46
"601",601,1,8,53,43
"602",602,1,9,43,40
"603",603,1,20,43,41
"604",604,1,39,46,42
"605",605,1,54,63,35
"606",606,1,48,53,38
"607",607,1,34,51,42
"608",608,1,9,47,40
"609",609,1,9,47,34
"610",610,1,20,45,35
"611",611,1,44,54,36
"612",612,1,50,63,34
"613",613,1,37,60,39
"614",614,1,19,41,34
"615",615,1,13,43,32
"616",616,1,25,49,35
"617",617,1,32,53,26
"618",618,1,35,63,31
"619",619,1,38,63,33
"620",620,1,33,45,31
"621",621,1,26,56,29
"622",622,1,22,36,31
"623",623,1,25,38,33
"624",624,1,34,51,34
"625",625,1,33,63,25
"626",626,1,34,62,18
"627",627,1,27,42,22
"628",628,1,28,29,31
"629",629,1,29,52,37
"630",630,1,34,57,31
"631",631,1,35,63,15
"632",632,1,38,61,21
"633",633,1,28,30,32
"634",634,1,27,43,39
"635",635,1,27,51,32
"636",636,1,33,63,14
"637",637,1,37,60,18
"638",638,1,29,31,32
"639",639,1,29,33,36
"640",640,1,28,52,36
"641",641,1,32,63,19
"642",642,1,37,63,16
"643",643,1,29,42,30
"644",644,1,26,29,41
"645",645,1,33,48,35
"646",646,1,41,63,14
"647",647,1,34,46,20
"648",648,1,21,35,34
"649",649,1,14,56,36
"650",650,1,15,56,38
"651",651,1,12,57,32
"652",652,1,21,59,25
"653",653,1,24,62,22
"654",654,1,29,60,27
"655",655,1,29,55,26
"656",656,1,29,52,31
"657",657,1,28,47,36
"658",658,1,29,51,37
"659",659,1,25,45,36
"660",660,1,25,46,36
"661",661,1,22,48,36
"662",662,1,22,47,36
"663",663,1,18,47,38
"664",664,1,20,48,38
"665",665,1,19,50,38
"666",666,1,17,49,38
"667",667,1,17,53,37
"668",668,1,19,51,38
"669",669,1,19,49,37
"670",670,1,21,48,37
"671",671,1,19,51,36
"672",672,1,21,49,36
"673",673,1,21,49,36
"674",674,1,22,48,37
"675",675,1,21,48,34
"676",676,1,21,48,37
"677",677,1,21,49,37
"678",678,1,21,49,36
"679",679,1,21,49,35
"680",680,1,21,50,37
"681",681,1,23,50,36
"682",682,1,26,48,37
"683",683,1,25,50,36
"684",684,1,24,50,36
"685",685,1,23,49,36
"686",686,1,21,51,35
"687",687,1,18,51,35
"688",688,1,20,50,36
"689",689,1,18,50,37
"690",690,1,20,50,37
"691",691,1,20,50,36
"692",692,1,21,50,36
"693",693,1,22,50,36
"694",694,1,23,51,37
"695",695,1,22,52,37
"696",696,1,23,52,36
"697",697,1,20,50,36
"698",698,1,20,49,37
"699",699,1,21,51,37
"700",700,1,21,50,38
"701",701,1,22,50,38
"702",702,1,23,51,39
"703",703,1,23,50,40
"704",704,1,25,51,39
"705",705,1,26,53,41
"706",706,1,27,51,40
"707",707,1,29,52,38
"708",708,1,26,52,37
"709",709,1,27,52,38
"710",710,1,27,55,37
"711",711,1,26,58,36
"712",712,1,25,54,34
"713",713,1,26,58,37
"714",714,1,28,42,40
"715",715,1,31,23,41
"716",716,1,32,49,45
"717",717,1,30,60,35
"718",718,1,27,63,29
"719",719,1,27,53,27
"720",720,1,28,39,34
"721",721,1,28,22,41
"722",722,1,28,51,45
"723",723,1,30,62,35
"724",724,1,32,63,26
"725",725,1,30,56,28
"726",726,1,30,34,36
"727",727,1,26,27,44
"728",728,1,28,50,40
"729",729,1,27,54,35
"730",730,1,22,63,20
"731",731,1,33,61,23
"732",732,1,32,44,31
"733",733,1,31,31,42
"734",734,1,32,46,47
"735",735,1,31,60,40
"736",736,1,31,63,26
"737",737,1,30,54,26
"738",738,1,26,36,29
"739",739,1,26,26,40
"740",740,1,29,45,39
"741",741,1,28,62,29
"742",742,1,34,63,24
"743",743,1,31,44,30
"744",744,1,30,28,39
"745",745,1,25,33,48
"746",746,1,29,46,43
"747",747,1,26,63,25
"748",748,1,35,63,22
"749",749,1,28,40,34
"750",750,1,31,36,41
"751",751,1,24,49,43
"752",752,1,26,61,33
"753",753,1,28,63,27
"754",754,1,34,63,19
"755",755,1,30,48,32
"756",756,1,28,29,39
"757",757,1,25,45,45
"758",758,1,27,62,29
"759",759,1,37,63,18
"760",760,1,34,51,22
"761",761,1,29,31,36
"762",762,1,26,43,41
"763",763,1,29,59,33
"764",764,1,34,63,19
"765",765,1,38,57,23
"766",766,1,28,36,32
"767",767,1,27,32,41
"768",768,1,29,49,40
"769",769,1,30,62,26
"770",770,1,33,63,21
"771",771,1,33,47,28
"772",772,1,29,34,37
"773",773,1,26,43,39
"774",774,1,26,58,29
"775",775,1,29,63,22
"776",776,1,32,53,28
"777",777,1,25,28,35
"778",778,1,26,34,38
"779",779,1,28,50,37
"780",780,1,28,62,30
"781",781,1,28,63,20
"782",782,1,27,49,26
"783",783,1,30,32,35
"784",784,1,24,40,39
"785",785,1,26,50,34
"786",786,1,27,63,25
"787",787,1,34,62,24
"788",788,1,28,40,29
"789",789,1,28,31,37
"790",790,1,26,49,38
"791",791,1,25,63,24
"792",792,1,31,63,20
"793",793,1,33,58,24
"794",794,1,27,32,33
"795",795,1,27,37,40
"796",796,1,27,49,36
"797",797,1,29,63,21
"798",798,1,36,63,20
"799",799,1,30,44,29
"800",800,1,27,33,35
"801",801,1,28,44,35
"802",802,1,29,63,23
"803",803,1,36,63,17
"804",804,1,30,47,30
"805",805,1,30,34,37
"806",806,1,26,52,37
"807",807,1,30,63,23
"808",808,1,36,63,17
"809",809,1,28,46,25
"810",810,1,27,38,34
"811",811,1,28,39,36
"812",812,1,34,48,31
"813",813,1,36,63,21
"814",814,1,37,61,18
"815",815,1,28,42,30
"816",816,1,27,33,45
"817",817,1,25,51,39
"818",818,1,32,63,26
"819",819,1,35,51,24
"820",820,1,24,42,35
"821",821,1,24,45,39
"822",822,1,28,62,34
"823",823,1,32,63,34
"824",824,1,35,54,30
"825",825,1,35,56,27
"826",826,1,33,52,33
"827",827,1,27,47,32
"828",828,1,22,51,33
"829",829,1,17,43,42
"830",830,1,10,46,48
"831",831,1,16,48,39
"832",832,1,33,49,34
"833",833,1,49,50,32
"834",834,1,48,62,29
"835",835,1,32,50,43
"836",836,1,8,46,47
"837",837,1,16,54,43
"838",838,1,39,50,33
"839",839,1,29,62,33
"840",840,1,23,35,33
"841",841,1,22,49,35
"842",842,1,17,49,40
"843",843,1,15,55,38
"844",844,1,20,52,41
"845",845,1,21,60,39
"846",846,1,24,54,38
"847",847,1,24,48,40
"848",848,1,25,47,40
"849",849,1,25,46,42
"850",850,1,26,48,41
"851",851,1,23,46,41
"852",852,1,21,45,40
"853",853,1,21,46,40
"854",854,1,19,48,41
"855",855,1,18,46,42
"856",856,1,18,45,43
"857",857,1,19,48,42
"858",858,1,18,46,42
"859",859,1,18,47,43
"860",860,1,19,47,42
"861",861,1,18,47,43
"862",862,1,19,47,42
"863",863,1,23,47,41
"864",864,1,24,47,41
"865",865,1,26,47,40
"866",866,1,27,47,40
"867",867,1,28,45,40
"868",868,1,24,46,43
"869",869,1,21,48,42
"870",870,1,20,49,42
"871",871,1,15,50,43
"872",872,1,15,49,42
"873",873,1,16,49,42
"874",874,1,14,48,43
"875",875,1,16,48,42
"876",876,1,17,49,43
"877",877,1,20,47,42
"878",878,1,23,47,42
"879",879,1,24,48,42
"880",880,1,24,47,41
"881",881,1,24,47,40
"882",882,1,25,48,41
"883",883,1,28,46,42
"884",884,1,28,48,42
"885",885,1,29,52,41
"886",886,1,25,49,41
"887",887,1,20,49,44
"888",888,1,15,48,42
"889",889,1,16,46,43
"890",890,1,19,47,44
"891",891,1,20,48,44
"892",892,1,21,49,45
"893",893,1,22,49,48
"894",894,1,23,49,46
"895",895,1,25,50,45
"896",896,1,32,50,43
"897",897,1,30,49,44
"898",898,1,30,48,43
"899",899,1,27,49,43
"900",900,1,28,47,42
"901",901,1,28,48,40
"902",902,1,32,48,41
"903",903,1,30,54,38
"904",904,1,34,39,35
"905",905,1,29,48,38
"906",906,1,20,51,36
"907",907,1,6,43,39
"908",908,1,5,47,47
"909",909,1,13,62,45
"910",910,1,36,43,41
"911",911,1,60,62,35
"912",912,1,47,58,38
"913",913,1,34,49,42
"914",914,1,6,50,45
"915",915,1,2,34,40
"916",916,1,12,48,39
"917",917,1,31,49,38
"918",918,1,49,62,35
"919",919,1,51,60,34
"920",920,1,39,49,38
"921",921,1,13,57,43
"922",922,1,0,41,50
"923",923,1,7,61,37
"924",924,1,25,48,37
"925",925,1,51,59,37
"926",926,1,51,60,34
"927",927,1,43,47,44
"928",928,1,18,53,38
"929",929,1,0,46,47
"930",930,1,1,39,40
"931",931,1,12,45,41
"932",932,1,29,59,43
"933",933,1,50,62,36
"934",934,1,52,61,29
"935",935,1,35,45,42
"936",936,1,12,54,43
"937",937,1,0,39,51
"938",938,1,6,56,36
"939",939,1,23,53,38
"940",940,1,42,49,41
"941",941,1,55,63,35
"942",942,1,43,48,37
"943",943,1,25,44,37
"944",944,1,3,50,42
"945",945,1,2,50,39
"946",946,1,19,44,33
"947",947,1,43,47,39
"948",948,1,60,62,35
"949",949,1,45,48,44
"950",950,1,25,50,42
"951",951,1,8,51,38
"952",952,1,2,41,36
"953",953,1,13,50,38
"954",954,1,31,53,41
"955",955,1,48,54,41
"956",956,1,41,57,37
"957",957,1,37,53,31
"958",958,1,15,52,38
"959",959,1,3,49,39
"960",960,1,8,48,43
"961",961,1,25,51,35
"962",962,1,40,46,42
"963",963,1,59,60,30
"964",964,1,42,51,37
"965",965,1,20,52,35
"966",966,1,5,49,40
"967",967,1,6,56,40
"968",968,1,16,46,44
"969",969,1,34,53,41
"970",970,1,55,53,30
"971",971,1,46,46,33
"972",972,1,25,51,42
"973",973,1,9,51,42
"974",974,1,3,49,45
"975",975,1,13,51,38
"976",976,1,22,52,41
"977",977,1,44,55,36
"978",978,1,57,63,28
"979",979,1,39,53,28
"980",980,1,21,56,39
"981",981,1,4,55,42
"982",982,1,5,49,37
"983",983,1,14,51,35
"984",984,1,27,56,44
"985",985,1,43,53,40
"986",986,1,52,61,28
"987",987,1,38,44,30
"988",988,1,20,48,38
"989",989,1,8,54,42
"990",990,1,4,50,40
"991",991,1,15,47,42
"992",992,1,31,55,42
"993",993,1,53,53,33
"994",994,1,50,56,33
"995",995,1,20,53,48
"996",996,1,0,48,45
"997",997,1,7,56,38
"998",998,1,26,51,39
"999",999,1,51,57,32
"1000",1000,1,37,55,41
"1001",1001,1,11,41,46
"1002",1002,1,17,53,38
"1003",1003,1,35,47,31
"1004",1004,1,37,57,38
"1005",1005,1,26,60,41
"1006",1006,1,8,40,38
"1007",1007,1,19,52,30
"1008",1008,1,23,52,33
"1009",1009,1,25,43,31
"1010",1010,1,27,51,38
"1011",1011,1,25,63,43
"1012",1012,1,27,43,39
"1013",1013,1,23,44,42
"1014",1014,1,21,48,42
"1015",1015,1,20,51,37
"1016",1016,1,19,50,38
"1017",1017,1,18,46,38
"1018",1018,1,20,49,38
"1019",1019,1,22,50,37
"1020",1020,1,23,46,39
"1021",1021,1,24,46,37
"1022",1022,1,26,49,38
"1023",1023,1,26,49,38
"1024",1024,1,23,49,36
"1025",1025,1,19,49,34
"1026",1026,1,15,52,31
"1027",1027,1,13,52,31
"1028",1028,1,13,53,32
"1029",1029,1,16,53,32
"1030",1030,1,18,52,35
"1031",1031,1,21,51,34
"1032",1032,1,25,51,32
"1033",1033,1,28,51,34
"1034",1034,1,27,51,33
"1035",1035,1,26,50,34
"1036",1036,1,25,49,32
"1037",1037,1,21,49,32
"1038",1038,1,18,49,31
"1039",1039,1,17,51,31
"1040",1040,1,16,49,31
"1041",1041,1,16,51,31
"1042",1042,1,17,52,32
"1043",1043,1,19,50,33
"1044",1044,1,23,50,36
"1045",1045,1,25,51,35
"1046",1046,1,26,52,34
"1047",1047,1,23,53,34
"1048",1048,1,17,51,32
"1049",1049,1,18,51,32
"1050",1050,1,21,48,34
"1051",1051,1,21,48,39
"1052",1052,1,24,48,40
"1053",1053,1,26,52,42
"1054",1054,1,24,51,45
"1055",1055,1,25,53,42
"1056",1056,1,23,55,40
"1057",1057,1,23,50,41
"1058",1058,1,24,49,39
"1059",1059,1,24,50,39
"1060",1060,1,27,52,39
"1061",1061,1,27,53,38
"1062",1062,1,28,55,38
"1063",1063,1,28,54,34
"1064",1064,1,23,59,46
